amfi_code,amc_name,sebi_category,plan,option
101328,HDFC Mutual Fund,Aggressive Hybrid Fund,Direct,Growth
101347,HDFC Mutual Fund,Aggressive Hybrid Fund,Direct,Growth
101356,HDFC Mutual Fund,Aggressive Hybrid Fund,Regular,Growth
101368,Kotak Mahindra Mutual Fund,Large Cap Fund,Regular,Growth
101387,Kotak Mahindra Mutual Fund,Large Cap Fund,Regular,Growth
101396,Kotak Mahindra Mutual Fund,Large Cap Fund,Direct,Growth
101417,Kotak Mahindra Mutual Fund,Large Cap Fund,Regular,Growth
101420,Kotak Mahindra Mutual Fund,Large Cap Fund,Regular,Growth
101439,Kotak Mahindra Mutual Fund,Mid Cap Fund,Direct,IDCW
101462,Kotak Mahindra Mutual Fund,Mid Cap Fund,Direct,IDCW
101479,Kotak Mahindra Mutual Fund,Mid Cap Fund,Regular,IDCW
101495,Kotak Mahindra Mutual Fund,Mid Cap Fund,Direct,Growth
101498,Kotak Mahindra Mutual Fund,Mid Cap Fund,Direct,Growth
101520,Kotak Mahindra Mutual Fund,Small Cap Fund,Regular,Growth
101530,Kotak Mahindra Mutual Fund,Small Cap Fund,Direct,IDCW
101537,Kotak Mahindra Mutual Fund,Small Cap Fund,Direct,IDCW
101557,Kotak Mahindra Mutual Fund,Small Cap Fund,Regular,Growth
101568,Kotak Mahindra Mutual Fund,Small Cap Fund,Regular,Growth
101574,Kotak Mahindra Mutual Fund,Liquid Fund,Direct,Growth
101588,Kotak Mahindra Mutual Fund,Liquid Fund,Regular,IDCW
101612,Kotak Mahindra Mutual Fund,Liquid Fund,Direct,Growth
101634,Kotak Mahindra Mutual Fund,Liquid Fund,Regular,IDCW
101637,Kotak Mahindra Mutual Fund,Liquid Fund,Regular,IDCW
101654,Kotak Mahindra Mutual Fund,Aggressive Hybrid Fund,Direct,Growth
101674,Kotak Mahindra Mutual Fund,Aggressive Hybrid Fund,Direct,IDCW
101683,Kotak Mahindra Mutual Fund,Aggressive Hybrid Fund,Regular,IDCW
101696,Kotak Mahindra Mutual Fund,Aggressive Hybrid Fund,Direct,IDCW
101724,Kotak Mahindra Mutual Fund,Aggressive Hybrid Fund,Regular,Growth
101735,Nippon India Mutual Fund,Large Cap Fund,Direct,IDCW
101761,Nippon India Mutual Fund,Large Cap Fund,Direct,Growth
101790,Nippon India Mutual Fund,Large Cap Fund,Regular,Growth
101807,Nippon India Mutual Fund,Large Cap Fund,Direct,Growth
101835,Nippon India Mutual Fund,Large Cap Fund,Direct,IDCW
101849,Nippon India Mutual Fund,Mid Cap Fund,Regular,IDCW
101857,Nippon India Mutual Fund,Mid Cap Fund,Direct,Growth
101870,Nippon India Mutual Fund,Mid Cap Fund,Regular,Growth
101878,Nippon India Mutual Fund,Mid Cap Fund,Regular,IDCW
101900,Nippon India Mutual Fund,Mid Cap Fund,Regular,Growth
101920,Nippon India Mutual Fund,Small Cap Fund,Regular,Growth
101923,Nippon India Mutual Fund,Small Cap Fund,Regular,Growth
101939,Nippon India Mutual Fund,Small Cap Fund,Regular,IDCW
101964,Nippon India Mutual Fund,Small Cap Fund,Direct,IDCW
101990,Nippon India Mutual Fund,Small Cap Fund,Direct,Growth
102000,Nippon India Mutual Fund,Liquid Fund,Regular,Growth
102009,Nippon India Mutual Fund,Liquid Fund,Direct,Growth
102037,Nippon India Mutual Fund,Liquid Fund,Direct,IDCW
102064,Nippon India Mutual Fund,Liquid Fund,Direct,IDCW
102085,Nippon India Mutual Fund,Liquid Fund,Regular,IDCW
102107,Nippon India Mutual Fund,Aggressive Hybrid Fund,Direct,IDCW
102134,Nippon India Mutual Fund,Aggressive Hybrid Fund,Direct,IDCW
102149,Nippon India Mutual Fund,Aggressive Hybrid Fund,Direct,IDCW
102174,Nippon India Mutual Fund,Aggressive Hybrid Fund,Regular,IDCW
102186,Nippon India Mutual Fund,Aggressive Hybrid Fund,Direct,Growth
102206,SBI Mutual Fund,Large Cap Fund,Direct,Growth
102229,SBI Mutual Fund,Large Cap Fund,Direct,Growth
102266,SBI Mutual Fund,Large Cap Fund,Regular,IDCW
102291,SBI Mutual Fund,Large Cap Fund,Direct,IDCW
102299,SBI Mutual Fund,Mid Cap Fund,Direct,IDCW
102308,SBI Mutual Fund,Mid Cap Fund,Regular,IDCW
102330,SBI Mutual Fund,Mid Cap Fund,Regular,Growth
102339,SBI Mutual Fund,Mid Cap Fund,Direct,Growth
102365,SBI Mutual Fund,Mid Cap Fund,Regular,IDCW
102377,SBI Mutual Fund,Small Cap Fund,Regular,IDCW
102382,SBI Mutual Fund,Small Cap Fund,Direct,IDCW
102390,SBI Mutual Fund,Small Cap Fund,Regular,Growth
102412,SBI Mutual Fund,Small Cap Fund,Direct,IDCW
102419,SBI Mutual Fund,Small Cap Fund,Direct,IDCW
102443,SBI Mutual Fund,Liquid Fund,Direct,IDCW
102460,SBI Mutual Fund,Liquid Fund,Regular,IDCW
102487,SBI Mutual Fund,Liquid Fund,Regular,IDCW
102492,SBI Mutual Fund,Liquid Fund,Direct,IDCW
102497,SBI Mutual Fund,Liquid Fund,Regular,IDCW
102503,SBI Mutual Fund,Aggressive Hybrid Fund,Direct,IDCW
102520,SBI Mutual Fund,Aggressive Hybrid Fund,Regular,IDCW
102537,SBI Mutual Fund,Aggressive Hybrid Fund,Direct,IDCW
102547,SBI Mutual Fund,Aggressive Hybrid Fund,Direct,Growth
102570,SBI Mutual Fund,Aggressive Hybrid Fund,Direct,Growth
102589,Quantum Mutual Fund,Large Cap Fund,Regular,IDCW
102598,Quantum Mutual Fund,Large Cap Fund,Direct,IDCW
102624,Quantum Mutual Fund,Mid Cap Fund,Regular,Growth
102638,Quantum Mutual Fund,Mid Cap Fund,Direct,IDCW
102655,Quantum Mutual Fund,Small Cap Fund,Direct,IDCW
102678,Quantum Mutual Fund,Small Cap Fund,Direct,IDCW
102693,ICICI Prudential MF,Large Cap Fund,Regular,IDCW
102706,ICICI Prudential MF,Large Cap Fund,Direct,IDCW
102735,ICICI Prudential MF,Large Cap Fund,Regular,IDCW
102755,ICICI Prudential MF,Large Cap Fund,Direct,Growth
102805,ICICI Prudential MF,Mid Cap Fund,Direct,Growth
102817,ICICI Prudential MF,Mid Cap Fund,Direct,IDCW
102822,ICICI Prudential MF,Mid Cap Fund,Regular,IDCW
102833,ICICI Prudential MF,Mid Cap Fund,Regular,IDCW
102854,ICICI Prudential MF,Small Cap Fund,Direct,Growth
102875,ICICI Prudential MF,Small Cap Fund,Regular,Growth
102898,ICICI Prudential MF,Small Cap Fund,Regular,Growth
102913,ICICI Prudential MF,Small Cap Fund,Regular,Growth
102921,ICICI Prudential MF,Small Cap Fund,Regular,IDCW
102941,ICICI Prudential MF,Liquid Fund,Regular,IDCW
102950,ICICI Prudential MF,Liquid Fund,Direct,IDCW
102960,ICICI Prudential MF,Liquid Fund,Direct,Growth
102975,ICICI Prudential MF,Liquid Fund,Direct,Growth
102993,ICICI Prudential MF,Liquid Fund,Regular,IDCW
103003,ICICI Prudential MF,Aggressive Hybrid Fund,Direct,IDCW
103025,ICICI Prudential MF,Aggressive Hybrid Fund,Direct,Growth
103048,ICICI Prudential MF,Aggressive Hybrid Fund,Direct,Growth
103071,ICICI Prudential MF,Aggressive Hybrid Fund,Direct,Growth
103085,ICICI Prudential MF,Aggressive Hybrid Fund,Regular,IDCW
999001,Navi Mutual Fund,Large Cap Fund,Direct,Growth
999002,Navi Mutual Fund,Large Cap Fund,Direct,Growth
999003,Navi Mutual Fund,Large Cap Fund,Direct,Growth
999004,Navi Mutual Fund,Large Cap Fund,Direct,Growth
999005,Navi Mutual Fund,Large Cap Fund,Direct,Growth
999006,Navi Mutual Fund,Large Cap Fund,Direct,Growth
999007,Navi Mutual Fund,Large Cap Fund,Direct,Growth
999008,Navi Mutual Fund,Large Cap Fund,Direct,Growth
